"person","birthYear","interest"
http://dbpedia.org/resource/Ernesto_Laclau,1935,http://dbpedia.org/resource/Hegemony
http://dbpedia.org/resource/Fabian_Freyenhagen,1978,http://dbpedia.org/resource/Critical_theory
http://dbpedia.org/resource/Fabian_Freyenhagen,1978,http://dbpedia.org/resource/Kantian_philosophy
http://dbpedia.org/resource/Brian_Fay,1943,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Brian_Fay,1943,http://dbpedia.org/resource/Philosophy_of_social_sciences
http://dbpedia.org/resource/Oswald_Spengler,1880,http://dbpedia.org/resource/Philosophy_of_history
http://dbpedia.org/resource/Oswald_Spengler,1880,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Analytic_philosophy
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Political_economy
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Ethical_philosophy
http://dbpedia.org/resource/Dimitris_Dimitrakos,1936,http://dbpedia.org/resource/Economic_theory
http://dbpedia.org/resource/Dimitris_Vardoulakis,1975,http://dbpedia.org/resource/Sovereignty
http://dbpedia.org/resource/Dimitris_Vardoulakis,1975,http://dbpedia.org/resource/Power_(social_and_political)
http://dbpedia.org/resource/Dimitris_Vardoulakis,1975,http://dbpedia.org/resource/Philosophy_and_literature
http://dbpedia.org/resource/Guy_Debord,1931,http://dbpedia.org/resource/Social_alienation
http://dbpedia.org/resource/Guy_Debord,1931,http://dbpedia.org/resource/Class_struggle
http://dbpedia.org/resource/Guy_Debord,1931,http://dbpedia.org/resource/Commodity_fetishism
http://dbpedia.org/resource/Guy_Debord,1931,http://dbpedia.org/resource/Reification_(Marxism)
http://dbpedia.org/resource/Guy_Debord,1931,http://dbpedia.org/resource/Social_theory
http://dbpedia.org/resource/György_Lukács,1885,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/György_Lukács,1885,http://dbpedia.org/resource/Marxist_humanism
http://dbpedia.org/resource/György_Lukács,1885,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/György_Lukács,1885,http://dbpedia.org/resource/Social_theory
http://dbpedia.org/resource/György_Lukács,1885,http://dbpedia.org/resource/Literary_theory
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Rationality
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Uncertainty
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Philosophy_of_science
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Philosophy_of_social_science
http://dbpedia.org/resource/Hans_Albert,1921,http://dbpedia.org/resource/Justificationism
http://dbpedia.org/resource/Hans_Köchler,1948,http://dbpedia.org/resource/Hermeneutics
http://dbpedia.org/resource/Hans_Köchler,1948,http://dbpedia.org/resource/Philosophical_anthropology
http://dbpedia.org/resource/Hans_Köchler,1948,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Hans_Köchler,1948,http://dbpedia.org/resource/Philosophy_of_law
http://dbpedia.org/resource/Henry_Shue,1940,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Henry_Shue,1940,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/Herbert_Spencer,1820,http://dbpedia.org/resource/Anthropology
http://dbpedia.org/resource/James_M._Edie,1927,http://dbpedia.org/resource/Continental_philosophy
http://dbpedia.org/resource/James_M._Edie,1927,http://dbpedia.org/resource/Medieval_philosophy
http://dbpedia.org/resource/James_M._Edie,1927,http://dbpedia.org/resource/Dramatic_theory
http://dbpedia.org/resource/James_M._Edie,1927,http://dbpedia.org/resource/Aesthetics
